has_remove_from_cart,is_purchase,continent,is_new_visit,isMobile,last_add_to_cart_hour,number_of_user_actions,number_of_page_views,time_on_site,has_promo,first_add_to_cart_delay,add_to_cart_count,quick_click_count,onsite_click_count,product_click_count
False,False,Asia,False,False,7,2,26,1295,False,831.268,1,1,0,0
False,False,Europe,True,False,13,9,25,1915,False,1766.566,3,6,0,0
False,False,Africa,True,True,13,1,2,108,False,107.669,1,0,0,0
False,True,Americas,False,True,16,2,39,1250,False,395.68699999999995,1,1,0,0
False,False,Asia,True,False,18,1,3,51,False,51.33,1,0,0,0
True,True,Americas,True,False,20,12,63,2180,False,14.184000000000001,1,7,0,3
False,False,Americas,False,False,15,2,7,230,False,149.363,1,1,0,0
False,False,Americas,True,True,16,27,89,2035,False,311.885,8,19,0,0
False,False,Americas,True,False,15,9,33,3332,False,2765.2329999999997,1,5,0,3
False,False,Americas,True,False,19,6,10,191,False,67.097,3,3,0,0
False,False,Americas,True,False,11,2,16,432,False,101.133,1,1,0,0
False,False,Americas,True,True,4,5,16,513,False,421.664,2,3,0,0
False,False,Americas,False,False,15,2,21,316,False,30.002,1,1,0,0
False,False,Americas,True,False,20,5,19,633,False,93.25299999999999,1,4,0,0
False,False,Americas,False,False,15,9,16,164,False,126.971,1,5,0,3
True,True,Americas,True,False,17,43,83,1984,True,533.0930000000002,6,26,0,8
False,False,Asia,True,False,8,1,2,96,False,95.914,1,0,0,0
False,False,Americas,False,False,2,1,3,33,False,13.347000000000001,1,0,0,0
False,False,Americas,True,False,21,1,3,106,False,38.938,1,0,0,0
False,False,Europe,True,False,4,1,4,86,False,76.35300000000002,1,0,0,0
False,False,Americas,True,False,8,1,4,120,False,36.306999999999995,1,0,0,0
False,False,Americas,False,False,10,2,3,152,False,151.887,1,1,0,0
False,False,Americas,False,False,21,2,4,860,False,725.107,1,1,0,0
False,False,Europe,True,True,9,2,4,119,False,82.479,1,1,0,0
False,False,Europe,True,False,13,2,5,156,False,130.954,1,1,0,0
False,False,Americas,False,False,12,3,4,113,False,4.055,2,1,0,0
False,False,Americas,True,True,17,4,4,143,False,143.257,1,3,0,0
False,False,Asia,False,True,0,2,6,125,False,112.12299999999999,1,1,0,0
False,False,Asia,True,False,11,2,7,176,False,136.659,1,1,0,0
False,False,Americas,True,True,13,2,7,195,False,195.205,1,1,0,0
False,False,Europe,True,False,13,2,8,102,False,25.791,1,1,0,0
False,False,Europe,True,False,10,2,8,149,False,135.766,1,1,0,0
False,False,Americas,True,True,12,2,9,662,False,316.599,1,1,0,0
False,False,Americas,True,False,11,4,7,307,False,268.632,2,1,0,1
False,False,Europe,True,False,8,2,10,125,False,74.972,1,1,0,0
False,False,Europe,False,True,9,1,11,2343,False,32.773,1,0,0,0
False,False,Europe,True,True,10,3,9,118,False,53.086999999999996,1,1,0,1
False,False,Asia,True,False,6,4,8,191,False,112.689,2,1,0,1
False,False,Americas,True,False,6,1,12,433,False,194.102,1,0,0,0
False,False,Asia,True,False,22,5,8,122,False,86.00299999999999,2,3,0,0
True,False,Americas,True,False,10,3,10,253,False,150.841,1,1,0,0
